,publications,domestic,pct_layer,upper,lower,labelled_max,origin_leader_office,dup_origin_year,dup_origin_field,dup_origin_only,domestic_share,pct_share,duplication_factor,labelled_dup,is_epc,home_is_origin_leader,domestic_measurable,H,identity,residual,on_identity,DH
AE,1883.0,0.0,486.0,1883.0,839.0,758.0,US,2.484168865435356,2.3508114856429465,2.484168865435356,,20.514985225833684,2.2443384982121573,2.484168865435356,False,False,False,,,,False,
IS,918.0,20.0,214.0,918.0,421.0,358.0,US,2.564245810055866,2.4414893617021276,2.564245810055866,2.178649237472767,18.90459363957597,2.1805225653206652,2.564245810055866,True,False,True,0.02178649237472767,45.9,43.719477434679334,False,0.04750593824228029
MO,723.0,0.0,24.0,723.0,333.0,228.0,US,2.6483516483516483,2.6101083032490973,3.1710526315789473,,3.21285140562249,2.171171171171171,3.1710526315789473,False,False,False,,,,False,
GR,3804.0,1627.0,519.0,3804.0,1816.0,1627.0,GR,2.3380454824830976,2.147939017504235,2.3380454824830976,42.770767613038906,12.005551700208189,2.094713656387665,2.3380454824830976,True,True,True,0.42770767613038907,2.3380454824830976,0.24333182609543247,False,0.8959251101321586
HK,8829.0,743.0,2592.0,8829.0,4277.0,4106.0,US,2.1502679006332195,2.1203170028818445,2.1502679006332195,8.415449088231963,22.69503546099291,2.0642974047229368,2.1502679006332195,False,False,True,0.08415449088231963,11.882907133243606,9.81860972852067,False,0.17371989712415245
US,2082902.0,1024044.0,319838.0,2082902.0,1024044.0,1024044.0,US,2.0339965860841915,2.0339965860841915,2.0339965860841915,49.16429097480342,13.311386167458817,2.0339965860841915,2.0339965860841915,False,True,True,0.4916429097480342,2.033996586084192,0.0,True,0.9999999999999999
SK,1661.0,797.0,229.0,1661.0,826.0,797.0,SK,2.084065244667503,2.084065244667503,2.084065244667503,47.98314268512944,12.116402116402117,2.0108958837772395,2.084065244667503,True,True,True,0.4798314268512944,2.0840652446675034,0.07316936089026393,False,0.9648910411622275
MY,4248.0,2036.0,993.0,4248.0,2120.0,2036.0,MY,2.086444007858546,2.086444007858546,2.086444007858546,47.92843691148776,18.94676588437321,2.0037735849056606,2.086444007858546,False,True,True,0.4792843691148776,2.086444007858546,0.0826704229528854,False,0.9603773584905662
BG,1361.0,687.0,244.0,1361.0,720.0,687.0,BG,1.9810771470160116,1.9610951008645534,1.9810771470160116,50.47759000734754,15.202492211838006,1.8902777777777777,1.9810771470160116,True,True,True,0.5047759000734754,1.9810771470160116,0.09079936923823384,False,0.9541666666666666
LT,1109.0,413.0,184.0,1109.0,592.0,413.0,LT,2.458980044345898,2.0163636363636366,2.685230024213075,37.240757439134356,14.230471771075019,1.8733108108108107,2.685230024213075,True,True,True,0.37240757439134353,2.6852300242130753,0.8119192134022646,False,0.6976351351351351
LV,767.0,373.0,168.0,767.0,424.0,373.0,LV,2.0563002680965146,1.9616368286445012,2.0563002680965146,48.63102998696219,17.967914438502675,1.8089622641509433,2.0563002680965146,True,True,True,0.4863102998696219,2.056300268096515,0.2473380039455717,False,0.8797169811320754
JP,1864485.0,1033401.0,311418.0,1864485.0,1033673.0,1033401.0,JP,1.804222175128532,1.804222175128532,1.804222175128532,55.42554646457333,14.312126965218578,1.803747413350257,1.804222175128532,False,True,True,0.5542554646457333,1.804222175128532,0.0004747617782749902,True,0.9997368606899861
SA,11885.0,32.0,3373.0,11885.0,6880.0,6874.0,US,1.7289787605469886,1.7289787605469886,1.7289787605469886,0.26924694993689524,22.10643596801678,1.7274709302325582,1.7289787605469886,False,False,True,0.0026924694993689523,371.40625,369.6787790697674,False,0.004651162790697674
MX,7317.0,4306.0,1128.0,7317.0,4313.0,4306.0,MX,1.6992568509057129,1.6992568509057129,1.6992568509057129,58.84925515921826,13.357015985790408,1.696498956642708,1.6992568509057129,False,True,True,0.5884925515921826,1.6992568509057129,0.0027578942630048786,True,0.9983769997681428
BY,637.0,0.0,94.0,637.0,395.0,329.0,EA,1.8735294117647059,1.9186746987951808,1.9361702127659575,,12.859097127222983,1.6126582278481012,1.9361702127659575,False,False,False,,,,False,
HR,758.0,436.0,142.0,758.0,475.0,436.0,HR,1.738532110091743,1.665934065934066,1.738532110091743,57.519788918205805,15.777777777777779,1.5957894736842104,1.738532110091743,True,True,True,0.575197889182058,1.738532110091743,0.1427426364075326,False,0.9178947368421052
AR,2708.0,1715.0,183.0,2708.0,1725.0,1715.0,AR,1.5790087463556852,1.5790087463556852,1.5790087463556852,63.330871491875925,6.329989622967831,1.569855072463768,1.5790087463556852,False,True,True,0.6333087149187593,1.579008746355685,0.009153673891916903,True,0.9942028985507247
PE,748.0,488.0,167.0,748.0,498.0,488.0,PE,1.5327868852459017,1.5327868852459017,1.5327868852459017,65.24064171122994,18.25136612021858,1.502008032128514,1.5327868852459017,False,True,True,0.6524064171122994,1.5327868852459017,0.030778853117387595,True,0.9799196787148594
KR,1038200.0,706664.0,100132.0,1038200.0,706664.0,706664.0,KR,1.4691564873829712,1.4691564873829712,1.4691564873829712,68.0662685417068,8.796379263694599,1.4691564873829712,1.4691564873829712,False,True,True,0.6806626854170681,1.469156487382971,0.0,True,1.0
RS,836.0,582.0,121.0,836.0,587.0,582.0,RS,1.436426116838488,1.436426116838488,1.436426116838488,69.61722488038278,12.64367816091954,1.424190800681431,1.436426116838488,True,True,True,0.6961722488038278,1.436426116838488,0.012235316157056975,True,0.9914821124361158
UA,2701.0,1666.0,683.0,2701.0,1937.0,1666.0,UA,1.4313725490196079,1.6010669828097215,1.62124849939976,61.68085894113291,20.18321513002364,1.39442436757873,1.62124849939976,False,True,True,0.6168085894113291,1.62124849939976,0.22682413182103,False,0.8600929272070211
CO,3326.0,2424.0,551.0,3326.0,2426.0,2424.0,CO,1.3721122112211221,1.3721122112211221,1.3721122112211221,72.88033674082982,14.21201960278566,1.3709810387469086,1.3721122112211221,False,True,True,0.7288033674082982,1.3721122112211221,0.001131172474213571,True,0.9991755976916735
PL,23958.0,17849.0,1583.0,23958.0,17853.0,17849.0,PL,1.34226007059219,1.34226007059219,1.34226007059219,74.50121045162368,6.197877921772836,1.3419593345656193,1.34226007059219,True,True,True,0.7450121045162368,1.3422600705921899,0.0003007360265705472,True,0.9997759480199407
TR,29171.0,22136.0,7240.0,29171.0,22137.0,22136.0,TR,1.3178080954101916,1.3178080954101916,1.3178080954101916,75.88358301052415,19.884100958501552,1.31774856574965,1.3178080954101916,True,True,True,0.7588358301052415,1.3178080954101916,5.952966054167952e-05,True,0.999954826760627
IR,713.0,0.0,852.0,713.0,545.0,534.0,US,1.3352059925093633,1.3352059925093633,1.3352059925093633,,54.4408945686901,1.308256880733945,1.3352059925093633,False,False,False,,,,False,
BR,28404.0,22058.0,3055.0,28404.0,22058.0,22058.0,BR,1.2876960739867622,1.2876960739867622,1.2876960739867622,77.65807632727785,9.711052481007025,1.2876960739867622,1.2876960739867622,False,True,True,0.7765807632727786,1.287696073986762,0.0,True,1.0000000000000002
MA,1145.0,901.0,233.0,1145.0,901.0,901.0,MA,1.2708102108768036,1.2708102108768036,1.2708102108768036,78.68995633187772,16.90856313497823,1.2708102108768036,1.2708102108768036,False,True,True,0.7868995633187772,1.2708102108768038,0.0,True,0.9999999999999999
